,s_property_type,s_places,d_currency,c_price_aprox_local_currency,c_surface_total_in_m2,c_surface_covered_in_m2,c_price_per_m2,c_latitud,c_longitud
5578,apartment,BenitoJuarez,0,4148925.07,75.0,75.0,55824.0,19.397899,-99.166031
5580,apartment,BenitoJuarez,0,2947420.41,130.0,130.0,22879.43846,19.381729,-99.164986
5581,apartment,BenitoJuarez,0,5125212.61,112.0,112.0,46178.57143,19.388123,-99.177493
5582,house,Azcapotzalco,0,4855673.26,328.0,328.0,14803.881890243902,19.4938852,-99.2109566
5584,house,VenustianoCarranza,0,1352255.91,160.0,160.0,8526.73125,19.423719,-99.096887
5585,apartment,Cuauhtemoc,0,2873765.76,93.0,93.0,31182.7957,19.406619,-99.159696
5586,apartment,BenitoJuarez,0,2837893.25,74.0,74.0,38700.0,19.364891,-99.148384
5587,house,Coyoacan,0,2571524.82,150.0,150.0,17300.0,19.350012,-99.121431
5588,apartment,BenitoJuarez,0,9672221.28,308.0,308.0,31403.31584415584,19.3853515,-99.1650931
5589,apartment,Coyoacan,0,1809481.33,65.0,65.0,28092.30769,19.314216,-99.135841
5590,apartment,AlvaroObregon,0,8127747.57,230.0,230.0,35652.17391,19.3484398,-99.2355858
5591,apartment,AlvaroObregon,0,750382.22,120.0,120.0,6308.775,19.384424,-99.199196
5592,apartment,MiguelHidalgo,0,1312372.49,80.0,80.0,16554.4125,19.404403,-99.175446
5593,house,VenustianoCarranza,0,5022946.09,360.0,360.0,14080.0,19.414261,-99.104118
5594,apartment,Iztapalapa,0,1040501.26,136.0,136.0,7720.588235,19.337753,-99.030333
5595,house,AlvaroObregon,0,5539431.27,297.0,297.0,18821.54882,19.341081,-99.207597
5597,apartment,AlvaroObregon,0,1854500.42,57.0,57.0,32832.10526,19.344499,-99.185726
5598,house,Coyoacan,0,2277692.23,180.0,180.0,12769.36111,19.344123,-99.129076
5600,apartment,BenitoJuarez,0,2259374.44,128.0,128.0,17812.5,19.394073,-99.153915
5601,apartment,Tlalpan,0,2675574.95,138.0,130.0,20769.23077,19.2748808,-99.215197
5602,apartment,BenitoJuarez,0,1189144.46,55.0,55.0,21818.18182,19.375451,-99.143267
5603,apartment,BenitoJuarez,0,2972861.16,100.0,100.0,30000.0,19.380644,-99.179176
5604,apartment,AlvaroObregon,0,2725122.75,65.0,65.0,42307.69231,19.3584291921,-99.1948563607
